File Path,Component Name,Category,Change Type,Before Value,After Value,Description,Impact
blockchain/core/blockchain_engine.py,Blockchain Core Engine,Blockchain Core,Environment Variable Update,http://localhost:8545,http://on-chain-distroless:8545,Updated ON_SYSTEM_CHAIN_RPC to use distroless service name,Core blockchain engine now connects to distroless on-chain service
blockchain/core/blockchain_engine.py,Blockchain Core Engine,Blockchain Core,Environment Variable Update,mongodb://localhost:27017/lucid,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,Updated MONGO_URI to use distroless MongoDB service with authentication,Database connections now use proper distroless MongoDB with auth
blockchain/api/app/config.py,Blockchain API Config,Blockchain API,Environment Variable Update,mongodb://lucid:lucid@127.0.0.1:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,Updated MongoDB URI to use distroless service name,API service now connects to distroless MongoDB
blockchain/blockchain_anchor.py,Blockchain Anchor Service,Blockchain Core,Environment Variable Update,http://localhost:8545,http://on-chain-distroless:8545,Updated ON_CHAIN_RPC_URL to use distroless service name,Anchor service now connects to distroless on-chain service
blockchain/blockchain_anchor.py,Blockchain Anchor Service,Blockchain Core,Environment Variable Update,mongodb://localhost:27017/lucid,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,Updated MONGO_URL to use distroless MongoDB service,Anchor service now uses distroless MongoDB with proper auth
blockchain/chain-client/lucid_anchors_client.py,Lucid Anchors Client,Blockchain Client,Environment Variable Update,http://localhost:8545,http://on-chain-distroless:8545,Updated RPC URL default to use distroless service name,Anchors client now connects to distroless on-chain service
blockchain/chain-client/lucid_chunk_store_client.py,Lucid Chunk Store Client,Blockchain Client,Environment Variable Update,http://localhost:8545,http://on-chain-distroless:8545,Updated RPC URL default to use distroless service name,Chunk store client now connects to distroless on-chain service
blockchain/chain-client/lucid_chunk_store_client.py,Lucid Chunk Store Client,Blockchain Client,Service URL Update,http://node1.example.com,http://storage-node-001-distroless:8080,Updated example storage node URLs to use distroless service names,Storage node examples now use real distroless service names
blockchain/chain-client/lucid_chunk_store_client.py,Lucid Chunk Store Client,Blockchain Client,Service URL Update,http://node2.example.com,http://storage-node-002-distroless:8080,Updated example storage node URLs to use distroless service names,Storage node examples now use real distroless service names
blockchain/chain-client/lucid_chunk_store_client.py,Lucid Chunk Store Client,Blockchain Client,Service URL Update,http://node3.example.com,http://storage-node-003-distroless:8080,Updated example storage node URLs to use distroless service names,Storage node examples now use real distroless service names
blockchain/chain-client/manifest_manager.py,Manifest Manager,Blockchain Client,Environment Variable Update,mongodb://localhost:27017,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin&retryWrites=false&directConnection=true,Updated MongoDB connection string in test function,Test functions now use distroless MongoDB
blockchain/chain-client/on_system_chain_client.py,On-System Chain Client,Blockchain Client,Environment Variable Update,http://localhost:8545,http://on-chain-distroless:8545,Updated ON_SYSTEM_CHAIN_RPC_URL to use distroless service name,Chain client now connects to distroless on-chain service
blockchain/chain-client/on_system_chain_client.py,On-System Chain Client,Blockchain Client,Environment Variable Update,http://localhost:8545,http://on-chain-distroless:8545,Updated argparse default RPC URL to use distroless service name,Command-line interface now defaults to distroless service
blockchain/governance/integrate_timelock.py,Timelock Integrator,Governance,Environment Variable Update,mongodb://lucid:lucid@127.0.0.1:27019/lucid?authSource=admin,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin,Updated mongo_uri default to use distroless service name,Timelock integrator now uses distroless MongoDB
blockchain/governance/spin_up_timelock.py,Timelock Spin-Up,Governance,Environment Variable Update,mongodb://lucid:lucid@127.0.0.1:27019/lucid?authSource=admin,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin,Updated mongo_uri in default config to use distroless service name,Timelock spin-up now uses distroless MongoDB
blockchain/governance/start_timelock.py,Timelock Starter,Governance,Environment Variable Update,mongodb://lucid:lucid@127.0.0.1:27019/lucid?authSource=admin,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin,Updated mongo_uri default to use distroless service name,Timelock starter now uses distroless MongoDB
blockchain/governance/test_timelock.py,Timelock Tester,Governance,Environment Variable Update,mongodb://localhost:27017/lucid,mongodb://lucid:lucid@mongo-distroless:27019/lucid?authSource=admin,Updated mongo_uri default to use distroless service name,Timelock tester now uses distroless MongoDB
