Service Category,Service Name,Dockerfile Path,Image Name,Port,Container Compose,API Hook,Network Names,Volumes,DockerHub Tag,Base Image,Multi-Stage,Distroless Runtime,Notes
distroless,node,infrastructure/docker/distroless/node/Dockerfile.node.distroless,node,8080/8081,docker-compose.yml docker-compose.dev.yml docker-compose.pi.yml,/api/v1/health,/lucid-net,/data/node,ghcr.io/hamigames/lucid/node:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Pure distroless build for distributed node management
distroless,rdp,infrastructure/docker/distroless/rdp/Dockerfile.rdp.distroless,rdp,3389/8080,docker-compose.yml docker-compose.dev.yml docker-compose.pi.yml,/api/v1/rdp,/lucid-net,/data/rdp,ghcr.io/hamigames/lucid/rdp:latest,gcr.io/distroless/python3-debian12,Yes,Yes,Pure distroless build for RDP session management
distroless,blockchain,infrastructure/docker/distroless/blockchain/Dockerfile.blockchain.distroless,blockchain,8545/8082,docker-compose.yml docker-compose.dev.yml docker-compose.pi.yml,/api/v1/blockchain,/lucid-net,/data/blockchain,ghcr.io/hamigames/lucid/blockchain:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Pure distroless build for blockchain operations
distroless,arm64-base,infrastructure/docker/distroless/base/Dockerfile.arm64-base.distroless,base,N/A,docker-compose.pi.yml,N/A,/lucid-net,N/A,ghcr.io/hamigames/lucid/base:latest,gcr.io/distroless/python3-debian12,Yes,Yes,Pure distroless base for ARM64 Pi deployment
distroless,minimal-base,infrastructure/docker/distroless/base/Dockerfile.minimal-base.distroless,base,N/A,docker-compose.yml docker-compose.dev.yml docker-compose.pi.yml,N/A,/lucid-net,N/A,ghcr.io/hamigames/lucid/base:latest,gcr.io/distroless/python3-debian12,Yes,Yes,Pure distroless minimal base image
distroless,base,infrastructure/docker/distroless/base/Dockerfile.base.distroless,base,N/A,docker-compose.yml docker-compose.dev.yml docker-compose.pi.yml,N/A,/lucid-net,N/A,ghcr.io/hamigames/lucid/base:latest,gcr.io/distroless/python3-debian12,Yes,Yes,Pure distroless base image for all services
distroless,gui,infrastructure/docker/distroless/gui/Dockerfile.gui.distroless,gui,8083/8080,docker-compose.yml docker-compose.dev.yml docker-compose.pi.yml,/api/v1/gui,/lucid-net,/data/gui,ghcr.io/hamigames/lucid/gui:latest,gcr.io/distroless/python3-debian12,Yes,Yes,Pure distroless build for GUI services
admin,admin-ui,infrastructure/docker/admin/Dockerfile.admin-ui,admin-ui,3000/8080,docker-compose.yml docker-compose.dev.yml,/api/v1/admin,/lucid-net,/data/admin,ghcr.io/hamigames/lucid/admin-ui:latest,gcr.io/distroless/nodejs20-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for admin interface
auth,authentication,infrastructure/docker/auth/Dockerfile.authentication,authentication,8080/8081,docker-compose.yml docker-compose.dev.yml,/api/v1/auth,/lucid-net,/data/auth,ghcr.io/hamigames/lucid/authentication:latest,gcr.io/distroless/python3-debian12:latest,Yes,Yes,Multi-stage with distroless runtime for authentication
blockchain,blockchain-api,infrastructure/docker/blockchain/Dockerfile.blockchain-api,blockchain-api,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/blockchain,/lucid-net,/data/blockchain,ghcr.io/hamigames/lucid/blockchain-api:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for blockchain API
blockchain,contract-deployment-simple,infrastructure/docker/blockchain/Dockerfile.contract-deployment.simple,contract-deployment,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/contracts,/lucid-net,/data/contracts,ghcr.io/hamigames/lucid/contract-deployment:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for contract deployment
blockchain,tron-node-client,infrastructure/docker/blockchain/Dockerfile.tron-node-client,tron-node-client,8080/8545,docker-compose.yml docker-compose.dev.yml,/api/v1/tron,/lucid-net,/data/tron,ghcr.io/hamigames/lucid/tron-node-client:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for TRON node client
blockchain,contract-compiler,infrastructure/docker/blockchain/Dockerfile.contract-compiler,contract-compiler,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/compile,/lucid-net,/data/compile,ghcr.io/hamigames/lucid/contract-compiler:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for contract compilation
blockchain,deployment-orchestrator,infrastructure/docker/blockchain/Dockerfile.deployment-orchestrator,deployment-orchestrator,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/deploy,/lucid-net,/data/deploy,ghcr.io/hamigames/lucid/deployment-orchestrator:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for deployment orchestration
blockchain,on-system-chain-client,infrastructure/docker/blockchain/Dockerfile.on-system-chain-client,on-system-chain-client,8080/8545,docker-compose.yml docker-compose.dev.yml,/api/v1/chain,/lucid-net,/data/chain,ghcr.io/hamigames/lucid/on-system-chain-client:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for on-system chain client
blockchain,blockchain-ledger,infrastructure/docker/blockchain/Dockerfile.blockchain-ledger,blockchain-ledger,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/ledger,/lucid-net,/data/ledger,ghcr.io/hamigames/lucid/blockchain-ledger:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for blockchain ledger
blockchain,blockchain-governance,infrastructure/docker/blockchain/Dockerfile.blockchain-governance,blockchain-governance,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/governance,/lucid-net,/data/governance,ghcr.io/hamigames/lucid/blockchain-governance:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for blockchain governance
blockchain,blockchain-vm,infrastructure/docker/blockchain/Dockerfile.blockchain-vm,blockchain-vm,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/vm,/lucid-net,/data/vm,ghcr.io/hamigames/lucid/blockchain-vm:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for blockchain VM
blockchain,blockchain-sessions-data,infrastructure/docker/blockchain/Dockerfile.blockchain-sessions-data,blockchain-sessions-data,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/sessions,/lucid-net,/data/sessions,ghcr.io/hamigames/lucid/blockchain-sessions-data:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for blockchain sessions data
blockchain,distroless,infrastructure/docker/blockchain/Dockerfile.distroless,blockchain-main,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/blockchain,/lucid-net,/data/blockchain,ghcr.io/hamigames/lucid/blockchain:latest,gcr.io/distroless/python3-debian12:latest,Yes,Yes,Multi-stage with distroless runtime for main blockchain service
blockchain,lucid-anchors-client,infrastructure/docker/blockchain/Dockerfile.lucid-anchors-client.distroless,lucid-anchors-client,8080/8082,docker-compose.yml docker-compose.dev.yml,/api/v1/anchors,/lucid-net,/data/anchors,ghcr.io/hamigames/lucid/lucid-anchors-client:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for Lucid anchors client
blockchain,on-system-chain-client-distroless,infrastructure/docker/blockchain/Dockerfile.on-system-chain-client.distroless,on-system-chain-client-distroless,8080/8545,docker-compose.yml docker-compose.dev.yml,/api/v1/chain,/lucid-net,/data/chain,ghcr.io/hamigames/lucid/on-system-chain-client:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for on-system chain client distroless
blockchain,chain-client,infrastructure/docker/blockchain/Dockerfile.chain-client,chain-client,8080/8545,docker-compose.yml docker-compose.dev.yml,/api/v1/chain,/lucid-net,/data/chain,ghcr.io/hamigames/lucid/chain-client:latest,gcr.io/distroless/python3-debian12:nonroot,Yes,Yes,Multi-stage with distroless runtime for chain client
